Rank	Taxonpath	Taxon	Lucas0207
root	root	root	446528
meta	Main genome	Main genome	221103
meta	Chloroplast	Chloroplast	219694
meta	Mitochondria	Mitochondria	0
meta	No hits	No hits	6113
domain	Main genome;Bacteria	Bacteria	0
domain	Main genome;Eukaryota	Eukaryota	226516
domain	Main genome;Archaea	Archaea	159
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	97767
superkingdom	Main genome;Eukaryota;SAR	SAR	61694
superkingdom	Main genome;Eukaryota;Excavata	Excavata	107
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	6558
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	70
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	41
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	109
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
superkingdom	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion)	Proteobacteria (Mitochondrion)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	22736
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	74000
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	185
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	3725
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	6689
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	6
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	234
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	1488
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	555
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	447
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	20
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	550
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	402
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	1426
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	179
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	29
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	4
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas	Palpitomonas	6
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	0
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	2
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	25
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	10
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	19
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	100
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	19
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	219595
kingdom	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion);Alphaproteobacteria (Mitochondrion)	Alphaproteobacteria (Mitochondrion)	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;WD260	WD260	2
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	Isosphaerales	0
