Rank	Taxonpath	Taxon	Lucas0201
root	root	root	147368
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	57128
meta	No hits	No hits	7747
domain	Main genome;Bacteria	Bacteria	19
domain	Main genome;Eukaryota	Eukaryota	89374
domain	Main genome;Archaea	Archaea	885
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	57757
superkingdom	Main genome;Eukaryota;SAR	SAR	23144
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	2
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	7872
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	8
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	0
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	8028
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	0
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	69
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	1988
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	6006
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	597
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	3742
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	1106
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	89
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	36
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	1300
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	0
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	19
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	25
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	2
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palustrimonas	Palustrimonas	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	2
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	0
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	2
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	722
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	57129
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales	Steroidobacterales	0
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	4
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales	Pseudonocardiales	0
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;IMCC26256	IMCC26256	6
phylum	Main genome;Bacteria;Acidobacteria;Holophagae;Subgroup 7	Subgroup 7	2
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales	Thermomicrobiales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	353
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	114
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	18
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	12
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	10
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 5	Unknown Holozoa phylum 5	4
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 6	Unknown Holozoa phylum 6	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 7	Unknown Holozoa phylum 7	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 8	Unknown Holozoa phylum 8	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 9	Unknown Holozoa phylum 9	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	49342
