SampleID,UniqueOTUs,TotalOTUs
Lucas0206,9332,12501
Lucas0115,14129,17253
Lucas0209,4752,5313
Lucas0198,8669,13121
Lucas0194,6446,8751
Lucas0021,10097,14520
Lucas0114,8166,9924
Lucas0201,6071,8456
Lucas0119,6832,8668
Lucas0038,10798,15395
Lucas0200,10050,14681
Lucas0117,7923,10046
Lucas0501,6961,9526
Lucas0193,6954,10036
Lucas0202,6094,7811
Lucas0113,6686,8259
Lucas0502,9779,13821
Lucas0003,14075,20371
Lucas0207,12592,15287
Lucas0197,7265,9767
Lucas0112,6149,7785
Lucas0116,5806,7120
Lucas0371,4197,6644
Lucas0118,10592,14100
Lucas0205,14873,20279
